bairro;cidade;latitude;longitude
Barcelona;São Caetano do Sul;-23.622286597002088; -46.55180091528704
Jardim São Caetano;São Caetano do Sul;-23.63829868731329; -46.58012802240344
Osvaldo Cruz;São Caetano do Sul;-23.628258591842044; -46.56686993940428
Prosperidade;São Caetano do Sul;-23.609772733063767; -46.549940627760755
Santa Maria;São Caetano do Sul;-23.634583904273384; -46.5535454192179
Boa Vista;São Caetano do Sul;-23.641193778058685; -46.55980166556147
Centro;São Caetano do Sul;-23.612443576385566; -46.57421894680053
Cerâmica;São Caetano do Sul;-23.625753651910397; -46.57538845872039
Fundação;São Caetano do Sul;-23.605343353968816; -46.57160027703808
Mauá;São Caetano do Sul;-23.645074738547397; -46.57294998404796
Nova Gerty;São Caetano do Sul;-23.641232488369152; -46.56662141241627
Olímpico;São Caetano do Sul;-23.628894665652446; -46.56020093062839
Santa Paula;São Caetano do Sul;-23.61892751272246; -46.56345192019538
Santo Antônio;São Caetano do Sul;-23.619144985967544; -46.5747926820101
São José;São Caetano do Sul;-23.63348757705056; -46.57699505308848
